ROBOT,PERCEPTION,TACTILE_MOBILITY,NONVERBAL,WARMTH,COMPETENCE,DISCOMFORT,AMBIGUITY,ATYPICALITY,MASCULINE,FEMININE,IDENTIFY,LIKEABILITY,METAPHOR1_NAME,METAPHOR1_COUNT,METAPHOR1_RATING,METAPHOR2_NAME,METAPHOR2_COUNT,METAPHOR2_RATING,METAPHOR3_NAME,METAPHOR3_COUNTS,METAPHOR3_RATING,ENTROPY_COUNTS,ENTROPY_RATINGS,ROLE
FURo-i,-0.8552631579,-1.302631579,-1.618421053,-0.5138888889,0.6944444444,-0.6527777778,6.789473684,6.105263158,-0.8333333333,0.0555555556,3.166666667,4.833333333,a coffee machine,5,3.52631579,a smartphone,5,3,a humidifier,3,5.421052632,1.073394281,1.065719121,2.588235294
FURo-S,0.0138888889,0.875,-0.625,-0.8472222222,0.8611111111,-0.2222222222,4.722222222,5.222222222,-1.333333333,-0.1111111111,4.111111111,5.666666667,a maid,7,5.611111111,a woman,4,5.555555556,"Rosey the robot from the show ""The Jetsons""",4,5.222222222,1.060601806,1.098114677,4.611111111
Gemini,-0.6447368421,-0.3815789474,-1.092105263,-1.152777778,1.111111111,-0.0416666667,5.263157895,6.105263158,0,-0.7222222222,2.555555556,4.222222222,a bottle,4,7,R2-D2 from the Star Wars franchise,2,4.052631579,"a Dalek from the show ""Doctor Who""",2,5.421052632,1.039720771,1.074425116,3.055555556
Geminoid DK,0.6388888889,1.027777778,0.9166666667,-0.5416666667,0.6666666667,0.75,3.555555556,4.888888889,1.055555556,-1.555555556,3.166666667,2.833333333,a man,12,7.777777778,a manager,5,7.666666667,a mannequin,1,6,0.7867012379,1.091948457,3.611111111
Geminoid F,0.4722222222,1.25,0.2222222222,-0.1111111111,0.7638888889,-0.2253521127,3.444444444,4.833333333,-1.888888889,2.277777778,4.333333333,4.888888889,a woman,10,8.055555556,a mannequin,7,6.611111111,a receptionist,2,7.111111111,0.9426749616,1.095236426,4.722222222
Geminoid HI,-0.25,0.675,0.1125,-0.7777777778,0.875,0.5416666667,2.25,4.25,1.944444444,-2.444444444,3.055555556,3.388888889,a man,6,7.05,a professor,1,6.85,a mannequin,1,6.7,0.7356219398,1.098394552,5.222222222
Heasy,-0.525,-0.825,-1.2375,-1.204819277,1.238095238,-0.6547619048,6.2,5.85,-1.238095238,-1.285714286,3.428571429,5.619047619,"WALL-E from the movie ""WALL-E""",2,5.75,a kiosk,2,6.95,a pair of binoculars,1,5.9,1.054920168,1.094969507,3.55
HEXA,-0.8214285714,1.017857143,-1.053571429,-1.48,0.3466666667,-0.0394736842,5.785714286,6.214285714,-0.6315789474,-1.684210526,2.277777778,3.368421053,a spider,10,6.642857143,a crab,3,6.642857143,a drone,2,5,0.8608513906,1.090262708,2.263157895
HOSPI,-0.5375,-0.525,-1.225,-0.9659090909,1.420454546,-1.079545455,5.8,4.8,-1.272727273,-0.7272727273,3.318181818,5.954545455,a vacuum cleaner,3,3.6,a trashcan,3,5.45,a kiosk,2,7.35,1.08219553,1.058652419,2.428571429
HRP-2,-0.625,0.9625,-0.3375,-1.125,1.125,-0.0138888889,5.25,5,1.722222222,-2.055555556,3.888888889,4.388888889,"a Transformer from the movie ""Transformers""",7,6.6,a skiier,3,5.6,"RoboCop from the movie ""RoboCop""",2,5.4,0.9596147939,1.094676915,5.166666667
HRP-4,0.65625,1.875,0.890625,-0.7368421053,1.4,0.2933333333,4.9375,3.875,1.473684211,-1.947368421,3.368421053,4.157894737,a Power Ranger from the Power Rangers franchise,4,6.125,a person,4,5.9375,"RoboCop from the movie ""RoboCop""",3,5.3125,1.090059659,1.096792069,4.736842105
HRP-4C,0.1842105263,1.842105263,0.7368421053,0.05,1.2875,-0.45,3.473684211,4.789473684,-2,1.85,4.6,6.1,a woman,7,7.736842105,a space traveler,2,5.947368421,a superhero,2,6.157894737,0.9075352941,1.09149515,5.052631579
Hub,-0.2361111111,-1.041666667,-1.111111111,-0.4625,1.125,-1.325,6.666666667,5.777777778,-1.5,-0.5,3.45,5.75,"Eve from the movie ""WALL-E""",4,6.111111111,a speaker,3,7.166666667,a trashcan,2,4.388888889,1.060856947,1.079173959,2.95
Human Support Robot,-1.119047619,0.7380952381,-1.476190476,-0.9125,1,-0.1625,5.095238095,5.523809524,-0.2105263158,-1.55,2.9,4.3,a claw machine,4,5.761904762,a vacuum cleaner,2,3.047619048,a coffee machine,2,4.333333333,1.039720771,1.066243661,3.315789474
iCat,-0.5882352941,-0.3088235294,-1.308823529,-0.3125,0.8125,0.025,6.470588235,6.294117647,-0.6,-0.15,2.9,4.25,a cat,7,5,a giraffe,4,2.411764706,a traffic cone,2,4.588235294,0.983961446,1.0548597,2.45
iCub,-0.4375,1.7875,-0.2125,-0.3055555556,1.069444444,-0.5,3.5,3.2,-0.7777777778,-0.3888888889,3.235294118,5,a child,9,6.1,a doll,4,5.75,a toy,2,5.4,0.9276173343,1.09737649,2.722222222
iPal,-0.95,1.533333333,-0.5166666667,-0.6184210526,1.157894737,-0.75,3.866666667,4.066666667,-1.263157895,-0.5263157895,2.684210526,5.368421053,a child,6,4.642857143,a skateboarder,3,3.8,ASIMO from Honda Robotics,2,5.133333333,0.9949236326,1.09108793,2.210526316
iRobiQ,-1.075,-0.125,-1.675,-0.9375,1.15,-1.3125,5,5.05,-0.75,-1.4,3.1,5.1,a slot machine,4,6.15,a telephone,3,3.15,a cash register,2,4.4,1.060856947,1.062318606,3.1
Jelly,-1.4,-1.9375,-2.025,-1.518072289,0.4337349398,-0.2142857143,5.85,4.85,-0.7619047619,-0.9523809524,2.380952381,3.714285714,a car rearview mirror,4,6.3,a GPS device,3,5.85,a camera,2,6.35,1.060856947,1.097941842,2.80952381
Jibo,-1.302631579,-2.210526316,-2.078947368,-1.184210526,0.5526315789,-0.7763157895,5.947368421,5.210526316,-1.736842105,-1.105263158,2.722222222,4.842105263,a speaker,5,7.263157895,a camera,4,5.736842105,an eyeball,2,4.315789474,1.036198785,1.076699374,2.666666667
Jimmy,0.140625,1.828125,0.09375,-0.6478873239,0.9166666667,-0.5138888889,4,3.75,-0.3333333333,-1.277777778,3.555555556,5.444444444,a toddler,6,6.3125,a mushroom,2,3.8125,a skeleton,1,3,0.8486855577,1.048497405,3.166666667
