,Robot Name,Height (cm),Weight (kg),Year,Country of Origin,Most Prominent Color,Mechanical Embodiment?,Zoomorphic Embodiment?,Humanoid Embodiment?,Can Move? (moving from A to B),number of wheels,Screen Face?,Static Face?,Mechanical Face?,number of legs,number of arms,number of eyes,Matte Body?,Mouth?,Nose?,Eyebrows?,Cheeks/blush?,Hair Follicles?,Mechanical Hair?,Furry?,Ears?,Eyelids?,Pupils?,Irises?,Eyelashes?,Lips?,mechanical spline lips?,symmetric embodiment?,Exposed Wires?
84,KK-X1,160.0,80,2017,Russia,white,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
85,Kobian,140.0,62,2007,Japan,white,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
86,Kodomoroid,165.0,UNK,2014,Japan,beige,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0
87,Kuri,50.0,6,2017,United States,"white, black",1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
88,Leka,20.0,UNK,2018,France,white,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
89,Leonardo,76.2,UNK,2002,United States,brown,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0
90,Loomo,65.0,19,2018,United States,black,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
91,LYNX,44.0,2.3,2017,United States,white,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
92,M1,160.0,165,2011,United States,white,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
93,Mabu,31.0,UNK,2015,United States,yellow,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
94,Mahru,140.0,65,2005,South Korea,white/blue,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
